fortuneNum,rate,describe
1,大吉,この画数の持ち主は、開拓精神に富み、前に突き進むパワーと忍耐力に優れ、運勢的にはどの道においてもトップに昇りつめる運を持ちます。さらに大きな困難や困窮に遭遇しても、それをバネにさらなる進化を遂げていきます。知性や感受性にも恵まれ、他人からも信頼されるなど心技体すべてを兼ね備えており、自分の可能性を信じれば信じるほど運勢が向上します。女性が持つと男勝りに仕事をこなし尊敬を集めます。一方、頑固で傲慢、気位が高すぎる傾向があり、ワンマンな行動が反発を受け孤立しがちです。調和を大切にし、周囲の意見にも十二分に注意すれば、他人の協力も得られ盤石になります。
2,大凶,分裂・分裂運。不安定、分離、対立をあらわします。この画数の持ち主は、神経が繊細で独立心に欠け、優柔不断、決断力の無さからも対人関係に苦労し孤立する傾向にあります。運勢も波乱が多く、富を得て結婚しても離婚をする可能性が高く、また成功しても一時的なものになりがちです。両親、家族との縁も薄く、意志薄弱のためリーダーには向かない数字です。脇役に徹したり、神経の繊細さを活かし宗教的・芸術的なことに個性を活かすことで吉になります。また、精神的な葛藤を経験しますので内的な修養といった観点からは良い数字となります。
3,大吉,知才運。この画数の持ち主は、周囲との調和、努力を怠らなければ男女とも地位にもお金にも、また異性にも恵まれます。また芸術的な華やかさ、緻密さ、美しさ、探求心、学術にも秀でた能力を持ち合わせていますので芸術性、知力を活かし芸術家、研究者、技術者としても大成する可能性があります。一方短気でわがままな性格から足元をすくわれることもありますので常に行き過ぎには注意が必要です。
4,大凶,不安定運。崩壊、分裂、不安定、孤独。この画数の持ち主は、才能があっても結果に結びつきにくいです。プライドが高いので挫折した時のショックは大きく、ストレスから病気になることもあります。分裂、不安定な運から家庭運も弱く散財癖もあります。奉仕の精神に富んでいますが認められることなく当然視され徒労に終わります。プライドの高さを抑え、陰で支える役に徹し地道に努力を続けることで才能が開花する可能性が出てきます。
5,大吉,充実運。この画数の持ち主は、明朗活発、性格に裏表がなく、真面目で一生懸命かつ人情味のある性格のため信頼され周囲に人が寄ってきます。才能にも恵まれ持ち生まれたリーダー運もあってみんなの中心になっていきます。大器晩成的な部分もありますので幼少時、若年期に苦労するかもしれませんが、中年、晩年には頭角をあらわします。健康運、財運も高く周りの人への気配りを忘れなければ成功も続きます。
6,大吉,天恵運。この画数の持ち主は、祖先からの運を享受します。リーダーになるために生まれてきたような運を持ち、最小限の努力で人の上に立ちます。家柄、人柄の良さから引き立ても受け、他人を引き立てることにより、さらに他人から引き立てを受けるいいサイクルが巡ります。一時的に不運が続くことがあっても、持ち生まれた運の良さで巻き返します。先祖、両親への感謝を忘れないことで成功が長続きします。
7,吉,独立運。この画数の持ち主は、人情家ですが頑固で融通性に欠ける面があります。物事を処理する能力は高いですが、計算高い行動をとらないため時には損することもあり、身近な人から誤解されることもあります。心の向上による他人への配慮、優しさ、包容力を備えればより大きく大成功します。女性は独立心が強すぎることから縁が遠い傾向になりがちです。芸能、芸術系の仕事に適しています。
8,吉,努力運。時間はかかってもコツコツ努力したことが報われる運を持ちます。この画数の持ち主は失敗を恐れず、失敗してもくじけないパワフルさがあります。また、知的に物事を処理しますので周囲から頼りにされます。意志力が強いのは良いのですが、意地っ張りと取られないことが大切で、また表情には出しませんが好き嫌いがあり、努力家にありがちな頑固さもありますので、嫌いな人を敬遠しすぎる傾向があります。努力家、知力、責任感から仕事は人と接する仕事が向いています。
9,特大凶,不遇運。人生のあらゆる局面において不運が付きまとい、どれだけ努力しても報われず、不幸が付きまとう大凶数です。繊細な注意を払ってもトラブルが起こり、取り返しのつかないことが起こったり、死別、離婚、短命なども暗示します。ただし、社会的な事柄、家庭的な事柄への幸せが無い分、芸術、スポーツ、学術などの才能に恵まれ、スペシャリストの分野で大成功することもあります。芸能家、未開の地を開拓する分野の人など一般的な幸せを放棄する覚悟のある人、孤独を愛する人には良い画数です。
10,特大凶,波乱運です。離合集散、栄枯盛衰を繰り返すように波乱万丈の人生になります。良い時もあるのですが一時的なものに終わり、結局は「無」あるいは「離」に帰結します。一生においては病気、失意、破産、別離を繰り返し、どんなに頑張っても障害が襲いかかってくるため前進できません。たまたま前進できたとしても元に戻されることになりますし、最悪最初より後退します。特定分野で大成功する人もありますが、病弱であったり、家庭内不和など成功に比例して衰運の側面が現れます。
11,大吉,発展運。苦労が多く、下積み期間も長くなりがちですが不屈の精神力を持ち、独立心旺盛で運命を自分で切り開く努力を怠たらず、謙虚さも持ち合わせますので努力は開花します。しかし、発展、成功しても外見は穏やかで質素です。また、再興させる運でもあり、斜陽産業を復興させたり、倒産しかけの会社の社長に就任し、会社を復活させたりできます。傾き衰退した家系の長男として生まれ、家を持ち直す人も多いようです。健康にも恵まれますので、対人関係を崩すような不誠実さが無ければ、健康と努力と運が上手くかみ合い成功の可能性が相当高いです。
12,大凶,挫折運。とにかく繊細で、気が小さいです。男性でも女性のように弱々しいです。良い面は小さなことまで気が回ることですが、気にしすぎて精神的に落ち着く暇がないので度が過ぎると精神的に病気になります。また自分をオープンにしないので誤解され、さらに精神的に追い込まれるサイクルに陥ります。手先の器用さ、芸術的なセンス、精神世界への理解がありますので芸術家、宗教家等に向きますが、粘り強さに欠けますので長続きせず、定職とは無縁です。健康面ではアレルギー体質で肌が弱く、肝臓、腎臓も弱い傾向があります。
13,大吉,援助運。とにかく人から好かれる人気運があります。また目上、同僚、目下全ての人から援助や引き立てを受けるので出世、財運にも恵まれます。頭脳も明晰、積極的で瞬時の判断にも優れていて、チャンスに強いです。また逆境にも、結果的にピンチをプラスへと転じさせます。必然的に信頼も高くなり、名声も上がります。理論立てた思考能力に優れエンジニア系の仕事が向く傾向にあります。人気運があり、能力も高いので努力しなくても人はついてきますが、能力の高さ、人気運の良さにあぐらをかかず周囲の人を大切にすることで更に発展します。
14,凶,苦難運。努力しても成果が出にくく、出たとしても一時的であったり、別の面で失敗したり心労することが起きます。他人からの援助、引き立ての縁も経済的にも恵まれていません。ただし、貧困に強く経済的に恵まれなくても何とか耐え忍べます。実行力に乏しく、行動が伴わないので他人からの信用はありません。不幸が続くので精神的にまいりがちで、幸運が訪れるチャンスはほとんど期待できませんが、考えだけは明るく前向きにすることで精神的な落ち込みは克服できます。
15,特大吉,福徳運。大吉運。性格的にも温厚で人当たりが良く人情味もあるので人から好かれ、引き立て、援助に恵まれます。行動力もあり、現実を直視し堅実さを心がければ長所が活かされ成功をほほ手中にできます。思いやりの心もあり、自分の幸せはある程度保障されていますので、努力を怠らず自分の幸せをある程度充足したら他人への奉仕を実行することで後世にも残る相当の偉業を成し遂げる可能性もあります。
16,大吉,ボス運。リーダーシップ、指導力、闘争心があり、数値、経済に強いことはもちろん、芸術面、宗教面に対する理解もあります。人柄も良さ、誠実さから目上からの引き立て、目下からの尊敬を得られます。様々な側面から物事を見る能力があることから、多方面での才能を伸ばすことによりより大きく運が開けるとともに社会への貢献度も数段に高まります。人生全般にわたり大きな失敗はないでしょう。女性は仕事も家庭も両立できる良妻賢母となります。
17,吉,独立運。失敗も多いですが、粘り強いので結果的には失敗をバネに成功します。人の上に立つことにより実力、運を発揮します。組織の一員として働くより、自ら旗揚げする方向けの数字です。ただし、他人の意見に耳を傾けない傾向にありますので、思考の幅が狭く、独善に陥りがちです。人気があり真面目で浪費癖もないので自分とは異なる視点からの考えにも耳を傾け、努力を惜しまなければ成功の可能性は大きいです。職業的には趣味、特技を生かしたもの、技術系、金融系が向いています。
18,吉,努力運。目標をしっかり定め、綿密な計画を作成し、強い意志力で真面目に努力を続け成功します。ただ、どこまでも自らの信念を貫く頑固さ、思い込みが強く、冷静沈着、客観的に物事を見れない欠点があります。努力を厭わず、真面目で誠実、実行力もあり才能にも恵まれていますので柔軟性を持って大きな組織で長所をいかせば飛躍の可能性が高まります。
19,特大凶,不遇運。知力に優れ、人に持ち合わせない特殊な才能を持ち合わすため、特定分野において相当の成功をする場合がありますが、それ以上の不運に遭遇する波乱万丈の運です。また外見はクールなイメージですが、内面は激情型ですので、人づきあいが上手くなく、人の上に立つリーダー的な立場には合いません。しかし、天才肌のところを活かし医療の研究や精密機器の開発、芸術面に特化すれば生まれ持った才能を大いに輝かすことができる可能性があります。人とかかわりを持つと欠点が出ますので、小さなグループ、組織の中で思う存分興味のあることに没頭することが成功に近づきます。
20,特大凶,崩壊運。努力家で何事にも真剣に取り組みますが、トラブル続きで努力が報われることはありません。努力していいところまで行ったとしても最後は駄目になり、また不運が山積みされていき、一難去ってまた一難と不運の連続です。死別、離婚、病気、破産、短命と幸せなこととは縁遠いです。ただし勝負運は強い傾向にありますので、あらゆる困難を経験し、体験が実力となりギャンブルの世界やスポーツの世界で一時的にですが成功する可能性はあります。
21,大吉,助才運。責任感が強く、何事にも努力を惜しみません。また面倒見のいいのもこの画数の特徴で、相談ごとを持ちかけられても親切に対応します。そのため信用も厚く人から頼りにされます。性格は控えめで、もともと参謀として才能を発揮するタイプですので、責任感、努力、信頼など持ち生まれた才能を発揮して他の人の成功を手助けします。これらの功績が認められ、組織のトップに立つこともあります。独立心も強いのでトップに立っても責任を果たしていきますが、自信過剰になり周囲との対立には注意が必要です。元来は参謀運ということを忘れなければ成功も続きます。女性が21画を持つと社会的には成功しますが、離婚、未亡人となる可能性が高いので要注意です。しかし、女性でも一生独身を貫く考えの方には良い画数です。
22,凶,衰弱挫折運。分離、分裂、病弱の傾向が強いです。性格はまじめで派手なところは無く、素直なため比較人には好かれますが、意志薄弱で気も小さく、少しの失敗だけでも挫折します。何事も続かず結局は目上からの引き立ても台無しにします。考えも子供っぽく、気分屋の性格もあって困難に立ち向かうことはほとんど無く、逃げ出す傾向があります。異性に関しても人当たりの良さからモテる傾向はありますが飽きっぽいため長続きせず、結婚、離婚を繰り返す可能性が大きいです。自分自身をしっかり持ち、粘り強さを持つことが幸せになる鍵です。
